bodyId,type,instance
12781,DNge104,DNge104_R
556329,DNge104,DNge104_L
10065,DNb05,DNb05_R
10071,AN12B011,AN12B011_L
10118,DNb05,DNb05_L
10135,DNge031,DNge031_L
10141,DNg15,DNg15_L
10143,DNp30,DNp30_L
10159,GNG702m,GNG702m_L
10223,DNpe056,DNpe056(PVLP146)_L
10292,GNG702m,GNG702m_R
10295,DNg34,DNg34_L
10313,DNge031,DNge031_R
10365,GNG114,GNG114_R
10388,DNp13,DNp13_R
10402,MZ_lv2PN,MZ_lv2PN_R
10407,AVLP609,AVLP609_L
10438,BM,BM_L
10449,DNpe025,DNpe025(PVLP145)_L
10482,DNg35,DNg35_L
10490,GNG671,GNG671_M
10499,DNge039,DNge039_R
10570,SAD107,SAD107_R
10592,AN08B012,AN08B012_L
10601,DNpe025,DNpe025(PVLP145)_R
10671,AN02A002,AN02A002_L
10705,DNc02,DNc02(SIFa)_L
10706,DNx01,DNx01_L
10732,DNpe056,DNpe056(PVLP146)_R
10841,AN09B004,AN09B004_a_L
10889,SAD097,SAD097(hb2002083432)_R
10967,DNg70,DNg70_R
10968,DNp34,DNp34_L
10999,GNG700m,GNG700m_L
11065,DNp14,DNp14(SMP585)_R
11131,DNg70,DNg70_L
11156,GNG102,GNG102_R
11239,DNx01,DNx01_R
11302,DNg104,DNg104_R
11310,DNge048,DNge048_R
11352,DNge027,DNge027_L
11380,DNp14,DNp14(SMP585)_L
11420,DNge141,DNge141_L
11466,DNge149,DNge149_M
11486,DNd03,DNd03_L
11502,DNge132,DNge132_R
11566,ALIN4,ALIN4_R
11604,AN05B004,AN05B004_R
11616,ANXXX106,ANXXX106_L
11645,GNG583,GNG583_R
11687,DNpe031,DNpe031(PVLP116)_R
11718,SAD093,SAD093_R
11869,AN19A038,AN19A038_L
12024,GNG181,GNG181_R
12143,AN01A055,AN01A055_L
12151,DNge138,DNge138_M
12170,DNge044,DNge044_R
12179,DNpe031,DNpe031(PVLP116)_R
12188,DNg84,DNg84_R
12210,DNg68,DNg68_R
12218,DNpe031,DNpe031(PVLP116)_L
12222,DNpe031,DNpe031(PVLP116)_L
12249,DNg104,DNg104_L
12374,DNge140,DNge140_R
12386,DNg84,DNg84_L
12394,DNge148,DNge148_R
12457,AN01B002,AN01B002(12457)_L
12465,DNg48,DNg48_R
12497,GNG102,GNG102_L
12520,DNge028,DNge028_R
12600,GNG049,GNG049_R
12601,DNge122,DNge122_R
12622,DNge022,DNge022_R
12725,GNG509,GNG509_L
12759,ALIN6,ALIN6_L
12868,ANXXX027,ANXXX027_L
12874,DNde001,DNde001(SAD041)_L
12914,AN19A038,AN19A038_R
13004,GNG316,GNG316_L
13041,ANXXX027,ANXXX027_L
13047,DNge133,DNge133_L
13135,DNge122,DNge122_L
13166,AN08B012,AN08B012_R
13176,DNg85,DNg85_R
13181,ANXXX027,ANXXX027_R
13232,ALIN7,ALIN7_L
13277,DNg86,DNg86_R
13337,AN08B020,AN08B020_L
13348,DNg20,DNg20_R
13364,DNge022,DNge022_L
13366,DNde001,DNde001(SAD041)_R
13377,DNg86,DNg86_L
13381,ANXXX027,ANXXX027_L
13399,ANXXX093,ANXXX093_R
13465,ANXXX102,ANXXX102_R
13527,ANXXX027,ANXXX027_L
13578,ANXXX109,ANXXX109_L
13580,ANXXX027,ANXXX027_R
13585,DNg34,DNg34_R
13624,DNg62,DNg62_L
13652,DNge038,DNge038_R
13670,BM,BM_R
13685,DNge008,DNge008_R
13734,ANXXX102,ANXXX102_L
13845,AN17A026,AN17A026_L
13883,AN17B005,AN17B005_R
