Root ID,Top in/out region,Community labels,Predicted NT type,Predicted NT confidence,Verified NT type,Verified Neuropeptide,Body Part,Function,Flow,Super Class,Class,Sub Class,Hemilineage,Nerve,Soma side,Primary Cell Type,Alternative Cell Type(s),Cable length (nm),Surface area (nm^2),Volume (nm^3)
10001,g10001,"hemibrainType: Giant Fiber,instance: DNp01(GF),mancBodyid: 10000,statusLabel: Roughly traced,synonyms: Kennedy and Broadie 2018: GF",ACH,0.5,,,,,,descending_neuron,,lt,putative_primary,,right,DNp01,DNp01,,,
10002,g10002,"hemibrainType: OCG01,statusLabel: Roughly traced",ACH,0.96,,,,,,visual_projection,,,,,left,OCG01d,OCG01d,,,
10003,g10003,statusLabel: Prelim Roughly traced,GABA,0.88,,,,,,visual_centrifugal,,,putative_primary,,right,VCH,VCH,,,
10005,g10005,statusLabel: Roughly traced,GABA,0.84,,,,,,cb_intrinsic,,,putative_primary,,right,AOTU019,AOTU019,,,
10006,g10006,"flywireType: VS1,VS2,VS3,VS4,VS5,VS6,VS7,VS8,statusLabel: Prelim Roughly traced,supertype: 10006",ACH,0.9,,,,,,visual_projection,,,no_lineage,,left,VS,VS,,,
10009,g10009,statusLabel: Roughly traced,GABA,0.86,,,,,,ol_intrinsic,,,,,left,CT1,CT1,,,
10010,g10001,"hemibrainType: Giant Fiber,instance: DNp01(GF),mancBodyid: 10002,statusLabel: Roughly traced,synonyms: Kennedy and Broadie 2018: GF",ACH,0.56,,,,,,descending_neuron,,lt,putative_primary,,left,DNp01,DNp01,,,
10011,g10011,"hemibrainType: P1-9,statusLabel: Roughly traced",OCT,0.9,,,,,,visual_centrifugal,,,putative_primary,,left,OA-AL2i1,OA-AL2i1,,,
10012,g10006,"flywireType: VS1,VS2,VS3,VS4,VS5,VS6,VS7,VS8,statusLabel: Roughly traced,supertype: 10006",ACH,0.86,,,,,,visual_projection,,,no_lineage,,right,VS,VS,,,
10013,g10013,"instance: MBON01(y5B'2a),statusLabel: Roughly traced",GLUT,0.72,,,,,,cb_intrinsic,MBON,,putative_primary,,right,MBON01,MBON01,,,
10015,g10015,"statusLabel: Roughly traced,supertype: 10015",ACH,0.77,,,,,,visual_projection,,,putative_primary,,right,HSN,HSN,,,
10016,g10016,"statusLabel: Roughly traced,supertype: 10015",ACH,0.91,,,,,,visual_projection,,,putative_primary,,right,HSE,HSE,,,
10017,g10017,statusLabel: Roughly traced,,,,,,,,cb_intrinsic,,,putative_primary,,left,AMMC-A1,AMMC-A1,,,
10018,g10018,"statusLabel: Roughly traced,synonyms: fru-M-100201",GABA,0.88,,,,,,cb_intrinsic,,,putative_primary,,left,LAL138,LAL138,,,
10019,g10019,statusLabel: Prelim Roughly traced,ACH,0.94,,,,,,visual_projection,,,,,left,H2,H2,,,
10020,g10017,statusLabel: Roughly traced,,,,,,,,cb_intrinsic,,,putative_primary,,left,AMMC-A1,AMMC-A1,,,
10021,g10021,"statusLabel: Roughly traced,supertype: 10021",ACH,0.97,,,,,,cb_intrinsic,,,VLPl&p1_lateral,,left,CB2049,CB2049,,,
10023,g10023,statusLabel: Roughly traced,ACH,0.88,,,,,,visual_projection,,,,,right,HSS,HSS,,,
10025,g10019,statusLabel: Roughly traced,ACH,0.89,,,,,,visual_projection,,,,,right,H2,H2,,,
10026,g10026,"mancBodyid: 10012,statusLabel: Prelim Roughly traced,synonyms: Matsuo 2016: AMMC-Di3",ACH,0.94,,,,,,descending_neuron,,xn,putative_primary,,right,DNp18,DNp18,,,
