bodyId,type,instance
12781,DNge104,DNge104_R
556329,DNge104,DNge104_L
10141,DNg15,DNg15_L
10202,GNG103,GNG103(hb5813083315)_R
10216,DNge037,DNge037_R
10218,DNg35,DNg35_R
10296,DNge054,DNge054_R
10304,DNge041,DNge041_R
10377,DNge054,DNge054_L
10438,BM,BM_L
10482,DNg35,DNg35_L
10490,GNG671,GNG671_M
10499,DNge039,DNge039_R
10501,GNG284,GNG284(hb1821378236)_L
10581,IN06B012,IN06B012_L
10587,DNge011,DNge011_L
10592,AN08B012,AN08B012_L
10686,DNge132,DNge132_L
10706,DNx01,DNx01_L
10788,SAD112_c,SAD112_c_R
10832,GNG302,GNG302_L
10939,SAD113,SAD113_R
10967,DNg70,DNg70_R
10968,DNp34,DNp34_L
10970,GNG301,GNG301_R
11131,DNg70,DNg70_L
11156,GNG102,GNG102_R
11193,ALIN6,ALIN6_R
11201,DNpe007,DNpe007(hb1343489608)_L
11239,DNx01,DNx01_R
11352,DNge027,DNge027_L
11482,DNge065,DNge065_R
11502,DNge132,DNge132_R
11520,SAD110,SAD110_R
11645,GNG583,GNG583_R
11702,AMMC012,AMMC012_R
11797,DNge041,DNge041_L
11950,CB0591,CB0591_L
11979,GNG651,GNG651_R
12086,GNG562,GNG562_R
12143,AN01A055,AN01A055_L
12169,DNg87,DNg87_L
12170,DNge044,DNge044_R
12188,DNg84,DNg84_R
12218,DNpe031,DNpe031(PVLP116)_L
12219,DNg48,DNg48_L
12307,DNg59,DNg59_R
12336,PS326,PS326_R
12386,DNg84,DNg84_L
12394,DNge148,DNge148_R
12451,DNge128,DNge128_R
12457,AN01B002,AN01B002(12457)_L
12465,DNg48,DNg48_R
12490,DNd04,DNd04_L
12497,GNG102,GNG102_L
12512,DNge010,DNge010_R
12601,DNge122,DNge122_R
12716,GNG551,GNG551_R
12725,GNG509,GNG509_L
12745,GNG046,GNG046_L
12759,ALIN6,ALIN6_L
12868,ANXXX027,ANXXX027_L
12874,DNde001,DNde001(SAD041)_L
12906,GNG423,GNG423_L
13041,ANXXX027,ANXXX027_L
13047,DNge133,DNge133_L
13135,DNge122,DNge122_L
13176,DNg85,DNg85_R
13181,ANXXX027,ANXXX027_R
13232,ALIN7,ALIN7_L
13381,ANXXX027,ANXXX027_L
13399,ANXXX093,ANXXX093_R
13580,ANXXX027,ANXXX027_R
13624,DNg62,DNg62_L
13652,DNge038,DNge038_R
13670,BM,BM_R
13883,AN17B005,AN17B005_R
14098,DNge044,DNge044_L
14119,AN09B023,AN09B023(14119)_R
14246,AN17B012,AN17B012_R
14265,DNge133,DNge133_R
14537,DNge078,DNge078_L
14628,AN09B023,AN09B023(14119)_L
14994,ANXXX027,ANXXX027(14994)_R
15070,AN08B012,AN08B012_L
15192,AN05B097,AN05B097_R
15333,BM,BM_R
15443,ANXXX027,ANXXX027(15443)_R
15673,DNg20,DNg20_L
15751,AN17A003,AN17A003_L
15825,DNg21,DNg21_R
15884,AN17A076,AN17A076_R
15906,AN23B001,AN23B001_R
15993,,
16086,ANXXX041,ANXXX041_L
16172,GNG423,GNG423_R
16384,AN17A003,AN17A003_R
16445,PVLP123,PVLP123_R
16458,ANXXX041,ANXXX041_L
16510,AN09B009,AN09B009_R
16778,GNG456,GNG456_R
17094,AN09B023,AN09B023(17094)_R
17158,AN05B099,AN05B099_R
17197,SAD040,SAD040_L
17362,BM,BM_R
17490,AN04B001,AN04B001_R
17492,AN05B023d,AN05B023d_L
17513,AN05B009,AN05B009_R
17555,DNxl114,DNxl114_L
17628,AN23B001,AN23B001_L
17967,DNde006,DNde006_L
